ID,Date,Time,Fo,Fm,FvFm
Acr1,21.06.2021,12:11:03,0.416,1.05,0.604
Acr2,21.06.2021,12:12:33,0.877,2.203,0.602
Acr3,21.06.2021,12:14:03,0.089,0.235,0.621
Acr4,21.06.2021,12:15:33,0.083,0.218,0.619
Acr5,21.06.2021,12:17:03,0.06,0.153,0.608
acr6,21.06.2021,12:18:33,0.338,0.856,0.605
Acr7,21.06.2021,12:20:03,0.092,0.232,0.603
Acr8,21.06.2021,12:21:33,0.289,0.728,0.603
Acr9,21.06.2021,12:23:03,0.719,1.81,0.603
Acr10,21.06.2021,12:24:33,0.687,1.793,0.617
Acr11,21.06.2021,12:26:03,0.608,1.534,0.604
Acr12,21.06.2021,12:27:33,0.731,1.838,0.602
Acr13,21.06.2021,12:29:03,0.655,1.703,0.615
Acr14,21.06.2021,12:30:33,0.62,1.562,0.603
Acr15,21.06.2021,12:32:03,0.1,0.258,0.612
Acr16,21.06.2021,12:33:33,0.052,0.132,0.606
Acr17,21.06.2021,12:35:03,0.03,0.087,0.655
Acr18,21.06.2021,12:36:33,0.058,0.147,0.605
Acr19,21.06.2021,12:38:03,0.674,1.719,0.608
Acr 20,21.06.2021,12:39:33,0.066,0.167,0.605
Acr21,21.06.2021,12:41:03,0.066,0.18,0.633
Acr22,21.06.2021,12:42:33,0.363,0.831,0.563
Acr23,21.06.2021,12:44:03,0.381,0.85,0.552
Acr24,21.06.2021,12:45:33,0.238,0.48,0.504
Acr25,21.06.2021,12:47:03,0.292,0.608,0.52
Acr26,21.06.2021,12:48:33,0.835,1.837,0.545
Acr27,21.06.2021,12:50:03,0.74,1.69,0.562
Acr28,21.06.2021,12:51:33,0.574,1.349,0.574
Acr29,21.06.2021,12:53:03,1.139,2.629,0.567
Acr30,21.06.2021,12:54:33,0.088,0.177,0.503
Acr31,21.06.2021,12:56:03,0.096,0.215,0.553
Acr32,21.06.2021,12:57:33,0.521,1.246,0.582
Acr33,21.06.2021,12:59:03,0.483,1.137,0.575
Acr34,21.06.2021,13:00:33,0.259,0.621,0.583
Acr35,21.06.2021,13:02:03,0.236,0.536,0.56
Acr36,21.06.2021,13:03:33,0.366,0.858,0.573
Acr37,21.06.2021,13:05:03,0.386,0.844,0.543
