ID,Date,Time,Fo,Fm,FvFm
wrong,22.06.2021,19:16:37,0.028,0.021,0.000
Acr1,22.06.2021,19:17:47,0.286,0.717,0.601
Acr2,22.06.2021,19:19:17,0.283,0.767,0.631
Acr3,22.06.2021,19:20:47,0.121,0.33,0.633
Acr4,22.06.2021,19:22:17,0.1,0.254,0.606
Acr5,22.06.2021,19:23:47,0.111,0.299,0.629
Acr6,22.06.2021,19:25:17,0.124,0.33,0.624
Acr7,22.06.2021,19:26:47,0.117,0.303,0.614
Acr8,22.06.2021,19:28:17,0.126,0.338,0.627
Acr9,22.06.2021,19:29:47,0.104,0.275,0.622
Acr10,22.06.2021,19:31:17,0.205,0.566,0.638
Acr11,22.06.2021,19:32:47,0.258,0.687,0.624
Acr12,22.06.2021,19:34:17,0.153,0.386,0.604
Acr13,22.06.2021,19:35:47,0.153,0.398,0.616
Acr14,22.06.2021,19:37:17,0.719,1.842,0.61
Acr15,22.06.2021,19:38:47,0.752,1.958,0.616
Acr16,22.06.2021,19:40:17,0.657,1.73,0.62
Acr17,22.06.2021,19:41:47,0.609,1.722,0.646
Acr18,22.06.2021,19:43:17,0.507,1.371,0.63
Acr19,22.06.2021,19:44:47,0.718,1.9,0.622
Acr20,22.06.2021,19:46:17,0.668,1.66,0.598
Acr21,22.06.2021,19:47:47,0.405,1.016,0.601
Acr22,22.06.2021,19:49:17,0.45,1.079,0.583
Acr23,22.06.2021,19:50:47,0.364,0.754,0.517
Acr24,22.06.2021,19:52:17,0.361,0.789,0.542
Acr25,22.06.2021,19:53:47,0.334,0.771,0.567
Acr26,22.06.2021,19:55:17,0.344,0.745,0.538
Acr27,22.06.2021,19:56:47,0.315,0.675,0.533
Acr28,22.06.2021,19:58:17,0.576,1.381,0.583
Acr29,22.06.2021,19:59:47,0.696,1.654,0.579
Acr30,22.06.2021,20:01:17,0.733,1.656,0.557
Acr31,22.06.2021,20:02:47,0.523,1.202,0.565
Acr32,22.06.2021,20:04:17,0.752,1.73,0.565
Acr33,22.06.2021,20:05:47,0.054,0.118,0.542
Acr34,22.06.2021,20:07:17,0.052,0.119,0.563
Acr35,22.06.2021,20:08:47,0.435,1.024,0.575
Acr36,22.06.2021,20:10:17,0.37,0.889,0.584
Acr37,22.06.2021,20:11:47,0.407,0.954,0.573
Acr38,22.06.2021,20:13:17,0.394,0.948,0.584
Acr39,22.06.2021,20:14:47,0.506,1.174,0.569
Acr40,22.06.2021,20:16:17,0.334,0.775,0.569
Acr41,22.06.2021,20:17:47,0.225,0.467,0.518
Acr42,22.06.2021,20:19:17,0.279,0.6,0.535
Poc1,22.06.2021,20:20:47,0.319,0.912,0.65
Poc2,22.06.2021,20:22:17,0.42,1.091,0.615
Poc3,22.06.2021,20:23:47,0.213,0.532,0.6
Poc4,22.06.2021,20:25:17,0.266,0.687,0.613
Poc5,22.06.2021,20:26:47,0.257,0.663,0.612
Poc6,22.06.2021,20:28:17,0.119,0.329,0.638
Poc7,22.06.2021,20:29:47,0.095,0.247,0.615
Poc8,22.06.2021,20:31:17,0.078,0.198,0.606
Poc9,22.06.2021,20:32:47,0.06,0.173,0.653
Poc10,22.06.2021,20:34:17,0.073,0.196,0.628
Poc11,22.06.2021,20:35:47,0.094,0.279,0.663
Poc12,22.06.2021,20:37:17,0.069,0.171,0.596
Poc13,22.06.2021,20:38:47,0.066,0.175,0.623
Poc14,22.06.2021,20:40:17,0.329,0.823,0.6
Poc15,22.06.2021,20:41:47,0.304,0.822,0.63
Poc16,22.06.2021,20:43:17,0.263,0.73,0.64
Poc17,22.06.2021,20:44:47,0.362,0.921,0.607
Poc18,22.06.2021,20:46:17,0.345,0.928,0.628
Poc19,22.06.2021,20:47:47,0.332,0.866,0.617
Poc20,22.06.2021,20:49:17,0.197,0.528,0.627
Poc21,22.06.2021,20:50:47,0.231,0.6,0.615
Poc22,22.06.2021,20:52:17,0.274,0.569,0.518
Poc23,22.06.2021,20:53:47,0.272,0.615,0.558
Poc24,22.06.2021,20:55:17,0.105,0.254,0.587
Poc25,22.06.2021,20:56:47,0.357,0.824,0.567
Poc26,22.06.2021,20:58:17,0.332,0.774,0.571
Poc27,22.06.2021,20:59:47,0.058,0.133,0.564
Poc28,22.06.2021,21:01:17,0.259,0.604,0.571
Poc29,22.06.2021,21:02:47,0.063,0.131,0.519
Poc30,22.06.2021,21:04:17,0.086,0.185,0.535
Poc31,22.06.2021,21:05:47,0.079,0.159,0.503
Poc32,22.06.2021,21:07:17,0.326,0.789,0.587
Poc33,22.06.2021,21:08:47,0.18,0.405,0.556
Poc34,22.06.2021,21:10:17,0.176,0.396,0.556
Poc35,22.06.2021,21:11:47,0.185,0.415,0.554
Poc36,22.06.2021,21:13:17,0.366,0.779,0.53
Poc37,22.06.2021,21:14:47,0.505,1.146,0.559
Poc38,22.06.2021,21:16:17,0.434,0.991,0.562
Poc39,22.06.2021,21:17:47,0.391,0.866,0.548
Poc40,22.06.2021,21:19:17,0.506,1.203,0.579
Poc41,22.06.2021,21:20:47,0.509,1.218,0.582
Poc42,22.06.2021,21:22:17,0.464,0.978,0.526
Sty1,22.06.2021,21:23:47,0.335,0.914,0.633
Sty2,22.06.2021,21:25:17,0.233,0.587,0.603
Sty3,22.06.2021,21:26:47,0.241,0.649,0.629
Sty4,22.06.2021,21:28:17,0.259,0.711,0.636
Sty5,22.06.2021,21:29:47,0.288,0.724,0.602
Sty6,22.06.2021,21:31:17,0.305,0.816,0.626
Sty7,22.06.2021,21:32:47,0.247,0.657,0.624
Sty8,22.06.2021,21:34:17,0.24,0.621,0.614
Sty9,22.06.2021,21:35:47,0.289,0.741,0.61
Sty10,22.06.2021,21:37:17,0.212,0.571,0.629
Sty11,22.06.2021,21:38:47,0.141,0.365,0.614
Sty12,22.06.2021,21:40:17,0.203,0.52,0.61
Sty13,22.06.2021,21:41:47,0.084,0.269,0.688
Sty14,22.06.2021,21:43:17,0.051,0.171,0.702
Sty15,22.06.2021,21:44:47,0.077,0.202,0.619
Sty16,22.06.2021,21:46:17,0.104,0.362,0.713
Sty17,22.06.2021,21:47:47,0.258,0.75,0.656
Sty18,22.06.2021,21:49:17,0.511,1.491,0.657
Sty19,22.06.2021,21:50:47,0.418,1.286,0.675
Sty20,22.06.2021,21:52:17,0.482,1.548,0.689
Sty21,22.06.2021,21:53:47,0.487,1.374,0.646
Sty22,22.06.2021,21:55:17,0.613,1.432,0.572
Sty23,22.06.2021,21:56:47,0.217,0.443,0.51
Sty24,22.06.2021,21:58:17,0.222,0.504,0.56
Sty25,22.06.2021,21:59:47,0.252,0.519,0.514
Sty26,22.06.2021,22:01:17,0.304,0.597,0.491
Sty27,22.06.2021,22:02:47,0.229,0.532,0.57
Sty28,22.06.2021,22:04:17,0.225,0.516,0.564
Sty29,22.06.2021,22:05:47,0.269,0.520,0.483
Sty30,22.06.2021,22:07:17,0.231,0.545,0.576
Sty31,22.06.2021,22:08:47,0.206,0.497,0.586
Sty32,22.06.2021,22:10:17,0.209,0.498,0.58
Sty33,22.06.2021,22:11:47,0.263,0.630,0.583
Sty34,22.06.2021,22:13:17,0.262,0.625,0.581
Sty35,22.06.2021,22:14:47,0.081,0.192,0.578
Sty36,22.06.2021,22:16:17,0.119,0.240,0.504
Sty37,22.06.2021,22:17:47,0.458,1.077,0.575
Sty38,22.06.2021,22:19:17,0.37,0.867,0.573
Sty39,22.06.2021,22:20:47,0.229,0.544,0.579
Sty40,22.06.2021,22:22:17,0.305,0.738,0.587
Sty41,22.06.2021,22:23:47,0.346,0.787,0.56
Sty42,22.06.2021,22:25:17,0.035,0.074,0.527
