ID,Date,Time,Fo,Fm,FvFm
Acr1,21.06.2021,19:03:21,0.415,1.125,0.631
Acr2,21.06.2021,19:04:51,0.335,0.906,0.63
Acr3,21.06.2021,19:06:21,0.373,1,0.627
Acr4,21.06.2021,19:07:51,0.211,0.567,0.628
Acr5,21.06.2021,19:09:21,0.233,0.629,0.63
Acr6,21.06.2021,19:10:51,0.317,0.844,0.624
Acr7,21.06.2021,19:12:21,0.467,1.321,0.646
Acr8,21.06.2021,19:13:51,0.856,2.171,0.606
Acr9,21.06.2021,19:15:21,0.675,1.942,0.652
Acr10,21.06.2021,19:16:51,0.416,1.32,0.685
Acr11,21.06.2021,19:18:21,0.636,1.969,0.677
Acr12,21.06.2021,19:19:51,0.743,2.3,0.677
Acr13,21.06.2021,19:21:21,0.058,0.152,0.618
Acr14,21.06.2021,19:22:51,0.055,0.165,0.667
Acr15,21.06.2021,19:24:21,0.031,0.077,0.597
Acr16,21.06.2021,19:25:51,0.368,0.955,0.615
Acr17,21.06.2021,19:27:21,0.385,0.995,0.613
Acr18,21.06.2021,19:28:51,0.338,0.874,0.613
Acr19,21.06.2021,19:30:21,0.451,1.172,0.615
Acr20,21.06.2021,19:31:51,0.32,0.836,0.617
Acr21,21.06.2021,19:33:21,0.292,0.775,0.623
Acr22,21.06.2021,19:34:51,0.641,1.493,0.571
Acr23,21.06.2021,19:36:21,0.671,1.523,0.559
Acr24,21.06.2021,19:37:51,0.757,1.754,0.568
Acr25,21.06.2021,19:39:21,0.049,0.114,0.57
Acr26,21.06.2021,19:40:51,0.436,1.031,0.577
Acr27,21.06.2021,19:42:21,0.358,0.835,0.571
Acr28,21.06.2021,19:43:51,0.365,0.874,0.582
Acr29,21.06.2021,19:45:21,0.274,0.626,0.562
Acr30,21.06.2021,19:46:51,0.288,0.642,0.551
Acr31,21.06.2021,19:48:21,0.216,0.447,0.517
Acr32,21.06.2021,19:49:51,0.281,0.585,0.52
Acr33,21.06.2021,19:51:21,0.214,0.418,0.488
Acr34,21.06.2021,19:52:51,0.26,0.56,0.536
Acr35,21.06.2021,19:54:21,0.224,0.456,0.509
Acr36,21.06.2021,19:55:51,0.3,0.706,0.575
Acr37,21.06.2021,19:57:21,0.972,2.143,0.546
Acr38,21.06.2021,19:58:51,0.898,2.126,0.578
Acr39,21.06.2021,20:00:21,0.063,0.142,0.556
Acr40,21.06.2021,20:01:51,0.065,0.157,0.586
Acr41,21.06.2021,20:03:21,0.519,1.159,0.552
Acr42,21.06.2021,20:04:51,0.591,1.347,0.561
Poc1,21.06.2021,20:06:21,0.293,0.729,0.598
Poc2,21.06.2021,20:07:51,0.272,0.755,0.64
Poc3,21.06.2021,20:09:21,0.234,0.58,0.597
Poc4,21.06.2021,20:10:51,0.606,1.632,0.629
Poc5,21.06.2021,20:12:21,0.688,1.87,0.632
Poc6,21.06.2021,20:13:51,0.588,1.697,0.654
Poc7,21.06.2021,20:15:21,0.793,2.38,0.667
Poc8,21.06.2021,20:16:51,0.589,1.79,0.671
Poc9,21.06.2021,20:18:21,0.632,1.852,0.659
Poc10,21.06.2021,20:19:51,0.065,0.178,0.635
Poc11,21.06.2021,20:21:21,0.053,0.166,0.681
Poc12,21.06.2021,20:22:51,0.05,0.165,0.697
Poc13,21.06.2021,20:24:21,0.061,0.183,0.667
