ID,Date,Time,Fo,Fm,FvFm
Poc14,21.06.2021,20:25:51,0.074,0.209,0.646
Poc15,21.06.2021,20:27:21,0.299,0.795,0.624
Poc16,21.06.2021,20:28:51,0.322,0.857,0.624
Poc17,21.06.2021,20:30:21,0.286,0.715,0.6
Poc18,21.06.2021,20:31:51,0.348,0.927,0.625
Poc19,21.06.2021,20:33:21,0.334,0.841,0.603
Poc20,21.06.2021,20:34:51,0.334,0.856,0.61
Poc21,21.06.2021,20:36:21,0.303,0.796,0.619
Poc22,21.06.2021,20:37:51,0.104,0.23,0.548
Poc23,21.06.2021,20:39:21,0.114,0.268,0.575
Poc24,21.06.2021,20:40:51,0.088,0.205,0.571
Poc25,21.06.2021,20:42:21,0.419,1.017,0.588
Ppoc26,21.06.2021,20:43:51,0.517,1.247,0.585
Poc27,21.06.2021,20:45:21,0.46,1.115,0.587
Poc28,21.06.2021,20:46:51,0.47,1.112,0.577
Poc29,21.06.2021,20:48:21,0.344,0.687,0.499
Poc30,21.06.2021,20:49:51,0.203,0.449,0.548
Poc31,21.06.2021,20:51:21,0.352,0.712,0.506
Poc32,21.06.2021,20:52:51,0.211,0.473,0.554
Poc33,21.06.2021,20:54:21,0.435,0.86,0.494
Poc34,21.06.2021,20:55:51,0.527,1.144,0.539
Poc35,21.06.2021,20:57:21,0.488,1.091,0.553
Poc36,21.06.2021,20:58:51,0.679,1.633,0.584
Poc-37,21.06.2021,21:00:21,0.888,2.096,0.576
Poc38,21.06.2021,21:01:51,0.064,0.143,0.552
Poc39,21.06.2021,21:03:21,0.05,0.101,0.505
Poc40,21.06.2021,21:04:51,0.044,0.106,0.585
Poc41,21.06.2021,21:06:21,0.044,0.07,0.371
Poc42,21.06.2021,21:07:51,0.041,0.087,0.529
Sty1,21.06.2021,21:09:21,0.347,0.877,0.604
Sty2,21.06.2021,21:10:51,0.235,0.618,0.62
Sty3,21.06.2021,21:12:21,0.435,1.136,0.617
Sty4,21.06.2021,21:13:51,0.588,1.717,0.658
Sty5,21.06.2021,21:15:21,0.532,1.56,0.659
Sty6,21.06.2021,21:16:51,0.544,1.483,0.633
Sty7,21.06.2021,21:18:21,0.47,1.401,0.665
Sty8,21.06.2021,21:19:51,0.744,2.143,0.653
Sty9,21.06.2021,21:21:21,0.046,0.128,0.641
Sty10,21.06.2021,21:22:51,0.043,0.134,0.679
Sty11,21.06.2021,21:24:21,0.057,0.152,0.625
Sty12,21.06.2021,21:25:51,0.045,0.149,0.698
Sty13,21.06.2021,21:27:21,0.079,0.197,0.599
Sty14,21.06.2021,21:28:51,0.234,0.607,0.614
Sty15,21.06.2021,21:30:21,0.294,0.758,0.612
Sty16,21.06.2021,21:31:51,0.339,0.877,0.613
Sty17,21.06.2021,21:33:21,0.338,0.887,0.619
Sty18,21.06.2021,21:34:51,0.317,0.82,0.613
Sty19,21.06.2021,21:36:21,0.272,0.74,0.632
Sty20,21.06.2021,21:37:51,0.22,0.565,0.611
Sty21,21.06.2021,21:39:21,0.251,0.627,0.6
Sty22,21.06.2021,21:40:51,0.036,0.079,0.544
Sty23,21.06.2021,21:42:21,0.357,0.783,0.544
Sty24,21.06.2021,21:43:51,0.393,0.915,0.57
Sty25,21.06.2021,21:45:21,0.406,0.925,0.561
Sty26,21.06.2021,21:46:51,0.337,0.764,0.559
Sty27,21.06.2021,21:48:21,0.405,0.941,0.57
Sty28,21.06.2021,21:49:51,0.304,0.662,0.541
Sty29,21.06.2021,21:51:21,0.22,0.457,0.519
Sty30,21.06.2021,21:52:51,0.257,0.55,0.533
Sty31,21.06.2021,21:54:21,0.205,0.405,0.494
Sty32,21.06.2021,21:55:51,0.248,0.486,0.49
Sty33,21.06.2021,21:57:21,0.502,1.111,0.548
Sty.34,21.06.2021,21:58:51,0.675,1.508,0.552
Sty35,21.06.2021,22:00:21,0.973,2.347,0.585
Sty36,21.06.2021,22:01:51,0.893,2.133,0.581
Sty37,21.06.2021,22:03:21,0.104,0.238,0.563
Sty38,21.06.2021,22:04:51,0.055,0.116,0.526
Sty39,21.06.2021,22:06:21,0.116,0.277,0.581
Sty40,21.06.2021,22:07:51,0.075,0.168,0.554
Sty41,21.06.2021,22:09:21,0.356,0.824,0.568
Sty42,21.06.2021,22:10:51,0.549,1.255,0.563
